Idade;Genero;Cor/raca/etnia;PCD;UF onde mora;Tempo médio;Qual sua situação atual de trabalho?;Cargo Atual;Nivel;Faixa salarial;Atualmente qual a sua forma de trabalho?;Você acha que trabalhar em casa aumenta sua produtividade no trabalho?;Você acha que trabalhar em casa impede você de sair?;Você acha que trabalhar em casa lhe dá mais flexibilidade?;Você acha que trabalhar em casa economiza mais tempo?;Que tipo de trabalho tem o potencial de causar problemas físicos, como dores no pescoço, nas costas e nas pernas?;Que tipo de trabalho tem potencial para causar transtornos mentais, como estresse, ansiedade e depressão?;Você acha que trabalhar em casa impede você de entrar em contato com as pessoas?;Que tipo de trabalho mantém você focado enquanto trabalha?;Qual a forma de trabalho ideal para você?
28;Masculino;Branca;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
37;Feminino;Branca;Não;RS;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
33;Masculino;Branca;Não;PR;;Empreendedor ou Empregado (CNPJ);Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
25;Masculino;Branca;Não;PI;;Desempregado, buscando recolocação;;;;;;;;;;;;;
30;Masculino;Branca;Não;RS;;Empregado (CLT);;;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
43;Masculino;Parda;Não;PR;;Empregado (CLT);Analista de Suporte/Analista Técnico;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Modelo 100% presencial;;;;;;;;;Modelo 100% presencial
29;Feminino;Branca;Não;SP;;Empregado (CLT);;;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
30;Feminino;Parda;Não;SP;;Empregado (CLT);Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
48;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de Suporte/Analista Técnico;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29;Masculino;Branca;Não;DF;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
27;Masculino;Branca;Não;ES;;Empreendedor ou Empregado (CNPJ);;;de R$ 8.001/mês a R$ 12.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
28;Masculino;Branca;Não;ES;;Estagiário;Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
27;Masculino;Branca;Não;SC;;Empregado (CLT);Analista de Dados/Data Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Branca;Não;SC;;Estagiário;Cientista de Dados/Data Scientist;Júnior;Menos de R$ 1.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
29;Masculino;Branca;Não;RJ;;Empregado (CLT);Outra Opção;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Branca;Não;PR;;Empregado (CLT);Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
21;Masculino;Branca;Não;GO;;Somente Estudante (graduação);;;;;;;;;;;;;
49;Masculino;Branca;Não;SP;;Empregado (CLT);;;de R$ 25.001/mês a R$ 30.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
33;Feminino;Parda;Não;PE;;Servidor Público;Analista de Dados/Data Analyst;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
23;Masculino;Parda;Não;RJ;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
27;Masculino;Parda;Não;GO;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
37;Feminino;Branca;Sim;SP;;Desempregado, buscando recolocação;;;;;;;;;;;;;
34;Masculino;Amarela;Não;SP;;Empregado (CLT);Analista de Dados/Data Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
24;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Júnior;de R$ 2.001/mês a R$ 3.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
24;Feminino;Branca;Não;SP;;Estagiário;Outra Opção;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
35;Masculino;Parda;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26;Masculino;Parda;Não;CE;;Empregado (CLT);Analytics Engineer;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
25;Masculino;Branca;Não;SP;;Empregado (CLT);Analytics Engineer;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Branca;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 20.001/mês a R$ 25.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
19;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de BI/BI Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
28;Feminino;Parda;Não;MG;;Desempregado, buscando recolocação;;;;;;;;;;;;;
42;Feminino;Branca;Não;SP;;Empregado (CLT);Cientista de Dados/Data Scientist;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
45;Masculino;Branca;Não;SC;;Servidor Público;Outra Opção;Sênior;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo 100% remoto
30;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);;;de R$ 20.001/mês a R$ 25.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
28;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
